epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,2.0867191516991817,0.001,1.6158194896720706,0.45788946886398635,0.5034993859806725,0.5036080516521079,2633
2,1.4702401699040475,0.001,1.1770025491714478,0.6364747785736803,0.648783039858618,0.6475503228256742,2633
3,1.1259823768628567,0.001,0.953185032875765,0.6913836922961484,0.6996239627949306,0.7011014052411698,2633
4,0.9416413586147706,0.001,0.8441151025749388,0.7236570814398637,0.7325868420029619,0.7303456133687809,2633
5,0.8240707794624547,0.001,0.7541165337676093,0.748382246800208,0.7516345490232844,0.7512343334599316,2633
6,0.7398638021865678,0.001,0.6923874410844985,0.7753048222153947,0.7779895548536124,0.7766805924800607,2633
7,0.6902196391262992,0.001,0.6372815860169274,0.7843051167824018,0.7888543002327182,0.7884542347132548,2633
8,0.6371578640407987,0.001,0.5906998919589179,0.8062186681096472,0.8081694583116762,0.8070641853399164,2633
9,0.5956925461789976,0.001,0.562776906859307,0.8170188623994611,0.8186801483524534,0.8188378275731105,2633
10,0.5616142844110226,0.001,0.5490539059752509,0.8183593969104948,0.8191567136182241,0.8188378275731105,2633
11,0.5404820610276778,0.001,0.5574213603422755,0.8156185958251784,0.8148297433354045,0.8154196733763768,2633
12,0.5161516433613067,0.001,0.5287768874494803,0.8242981867047796,0.8245640125806663,0.8252943410558299,2633
13,0.4978175549093722,0.001,0.49545269920712426,0.8381441322203319,0.8378737921861631,0.8382073680212685,2633
14,0.4832091069081014,0.001,0.49661067589407876,0.827213974883307,0.829688069939483,0.8287124952525636,2633
15,0.4741117172570341,0.001,0.5066830565532049,0.8386106062183686,0.8372054175077,0.8355488036460311,2633
