epoch,train_loss,lr,val_loss,val_macro_f1,val_balanced_acc,val_overall_acc,val_count
1,1.9314359150550984,0.001,1.6642437214436738,0.36025351480278905,0.40404493785810214,0.4233526800955958,2929
2,1.4653140008449554,0.001,1.3320983700130298,0.5216557428598269,0.5413414681030096,0.5687948105155343,2929
3,1.1669850485560336,0.001,1.1256049596097157,0.6098548975226034,0.6258068298333564,0.6596107886650734,2929
4,0.9784685575667723,0.001,1.0556865381481855,0.6589423562367086,0.6724725577245395,0.7091157391601229,2929
5,0.7972970325269817,0.001,0.7658009143627208,0.7562420180421278,0.7520538054093443,0.7681802663024924,2929
6,0.7066731212867631,0.001,0.6969122306808181,0.7621279406413334,0.7593679779301686,0.7862751792420621,2929
7,0.5941345277759764,0.001,0.690704796301282,0.7585485282390056,0.7655881605962852,0.8057357459883919,2929
8,0.5106670630198938,0.001,0.5514391740055188,0.8149178053333874,0.809848385840018,0.8368043700921817,2929
9,0.45445901058890203,0.001,0.6044434305766354,0.7791959971557322,0.7906598972020801,0.8344144759303517,2929
10,0.402141561800683,0.001,0.4878565749234479,0.8211048628716765,0.8207850503665526,0.8552406964834415,2929
11,0.36740104228626064,0.001,0.5406098216367157,0.8164924572513694,0.8130613323861181,0.8467053601911916,2929
12,0.33035202234707495,0.001,0.4586097144562265,0.8377133304668664,0.833809906174654,0.8654831000341413,2929
13,0.30528484919556864,0.001,0.49421879187550233,0.8254008401483323,0.8272307948200952,0.8661659269375214,2929
14,0.30364190724988777,0.001,0.46514380731336447,0.8217281994356629,0.8253364107396127,0.8644588596790713,2929
15,0.2655797267884568,0.001,0.5046702694633732,0.807139398171397,0.8203446059409046,0.8658245134858313,2929
